beta,gamma,rho,sigma
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.9,-0.9,0.0
-1.0,0.9,-0.9,0.0
-1.0,0.9,-0.8,0.0
-1.0,0.9,-0.8,0.0
-1.0,0.9,-0.8,0.0
-1.0,0.8,-0.7,-1.11022302463e-16
-1.0,0.8,-0.6,-1.11022302463e-16
-1.0,0.8,-0.6,-1.11022302463e-16
-1.0,0.8,-0.6,-1.11022302463e-16
-1.0,0.7,-0.5,0.0
-1.0,0.7,-0.5,0.0
-1.0,0.6,-0.4,-1.11022302463e-16
-1.0,0.6,-0.4,-1.11022302463e-16
-1.0,0.5,-0.3,-1.11022302463e-16
-1.0,0.5,-0.2,-5.55111512313e-17
-1.0,0.5,-0.2,-5.55111512313e-17
-1.0,0.5,-0.2,-5.55111512313e-17
-1.0,1.0,-0.1,-0.1
-1.0,1.0,-0.1,-0.1
-1.0,1.0,0.0,-0.1
-1.0,1.0,0.0,-0.1
-1.0,1.0,0.0,-0.1
-1.0,0.9,0.0,-0.1
-1.0,0.9,0.0,-0.1
-1.0,1.0,0.5,-0.8
-1.0,1.0,0.6,-1.1
-1.0,1.0,0.7,-1.5
-1.0,1.0,0.8,-2.0
-1.0,1.0,0.8,-2.1
-1.0,1.0,0.9,-2.6
-1.0,1.0,0.9,-2.6
-1.0,1.0,0.9,-2.7
-1.0,1.0,0.9,-2.7
-1.0,1.0,0.9,-2.8
-1.0,1.0,0.9,-2.9
-0.9,0.6939,-0.9,0.0448271774289
-0.9,0.6939,-0.9,0.0448271774289
-0.9,0.9639,-0.8,-0.0231013414471
-0.9,0.9639,-0.8,-0.0231013414471
-0.9,0.9639,-0.8,-0.0231013414471
-0.9,0.6939,-0.8,0.0260104131973
-0.9,0.9639,-0.7,-0.0419181056787
-0.9,0.9639,-0.7,-0.0419181056787
-0.9,0.9639,-0.7,-0.0419181056787
-0.9,0.9639,-0.6,-0.0607348699103
-0.9,0.9639,-0.6,-0.0607348699103
-0.9,0.9639,-0.5,-0.0795516341419
-0.9,0.9639,-0.5,-0.0795516341419
-0.9,0.9639,-0.5,-0.0795516341419
-0.9,0.9639,-0.4,-0.0983683983735
-0.9,0.9639,-0.4,-0.0983683983735
-0.9,0.9639,-0.4,-0.0983683983735
-0.9,0.9639,-0.3,-0.117185162605
-0.9,0.9639,-0.3,-0.117185162605
-0.9,0.9639,-0.3,-0.117185162605
-0.9,0.9639,-0.2,-0.136001926837
-0.9,0.9639,-0.2,-0.136001926837
-0.9,0.9639,-0.2,-0.136001926837
-0.9,0.9639,-0.1,-0.154818691068
-0.9,0.9639,-0.1,-0.154818691068
-0.9,0.9639,-0.1,-0.154818691068
-0.9,0.9639,-0.1,-0.154818691068
-0.9,0.6939,-0.1,-0.105706936424
-0.9,0.9639,0.0,-0.1736354553
-0.9,0.9639,0.0,-0.1736354553
-0.9,0.9639,0.0,-0.1736354553
-0.9,0.9639,0.1,-0.192452219531
-0.9,0.9639,0.1,-0.192452219531
-0.9,0.9639,0.1,-0.192452219531
-0.9,0.9639,0.6,-1.13329043111
-0.9,0.9639,0.7,-1.49080895151
-0.9,0.9639,0.7,-1.49080895151
-0.9,0.8739,0.7,-1.92604070819
-0.9,0.9639,0.8,-2.01767835
-0.9,0.9639,0.8,-2.01767835
-0.9,0.9639,0.8,-2.18702922808
-0.9,0.8739,0.8,-2.62226098476
-0.9,0.8739,0.8,-2.79161186284
-0.9,0.7839,0.8,-3.73489625377
-0.9,0.9639,0.9,-2.71389862656
-0.9,0.9639,0.9,-2.71389862656
-0.9,0.9639,0.9,-2.71389862656
-0.9,0.9639,0.9,-2.88324950465
-0.9,0.9639,0.9,-2.88324950465
-0.9,0.9639,0.9,-3.05260038273
-0.9,0.9639,0.9,-3.22195126082
-0.9,0.9639,0.9,-3.3913021389
-0.9,0.8739,0.9,-3.65718301749
-0.9,0.8739,0.9,-3.65718301749
-0.9,0.8739,0.9,-3.82653389558
-0.9,0.8739,0.9,-3.82653389558
-0.9,0.8739,0.9,-3.99588477366
-0.9,0.8739,0.9,-3.99588477366
-0.9,0.8739,0.9,-4.16523565175
-0.9,0.9639,1.0,-3.57946978122
-0.9,0.9639,1.0,-3.57946978122
-0.9,0.9639,1.0,-3.57946978122
-0.9,0.9639,1.0,-3.7488206593
-0.9,0.9639,1.0,-3.7488206593
-0.9,0.9639,1.0,-3.91817153739
-0.9,0.9639,1.0,-3.91817153739
-0.9,0.9639,1.0,-4.08752241547
-0.9,0.9639,1.0,-4.08752241547
-0.9,0.9639,1.0,-4.25687329355
-0.9,0.9639,1.0,-4.25687329355
-0.9,0.9639,1.0,-4.42622417164
-0.9,0.9639,1.0,-4.42622417164
-0.9,0.9639,1.0,-4.59557504972
-0.9,0.9639,1.0,-4.59557504972
-0.9,0.9639,1.0,-4.76492592781
-0.9,0.9639,1.0,-4.76492592781
-0.9,0.9639,1.0,-4.93427680589
-0.9,0.9639,1.0,-5.10362768398
-0.9,0.8739,1.0,-5.0308068064
-0.9,0.8739,1.0,-5.0308068064
-0.9,0.8739,1.0,-5.20015768448
-0.9,0.8739,1.0,-5.20015768448
-0.8,0.6304,-1.0,0.113037109375
-0.8,0.6304,-1.0,0.113037109375
-0.8,0.7104,-0.9,0.0611572265625
-0.8,0.7104,-0.9,0.0611572265625
-0.8,0.7904,-0.8,0.00927734375
-0.8,0.7904,-0.8,0.00927734375
-0.8,0.7904,-0.8,0.00927734375
-0.8,0.8704,-0.7,-0.0426025390625
-0.8,0.8704,-0.7,-0.0426025390625
-0.8,0.8704,-0.7,-0.0426025390625
-0.8,0.8704,-0.7,-0.0426025390625
-0.8,0.8704,-0.6,-0.118896484375
-0.8,0.6304,-0.4,-0.03955078125
-0.8,0.6304,-0.4,-0.03955078125
-0.8,0.7104,-0.3,-0.0914306640625
-0.8,0.7104,-0.3,-0.0914306640625
-0.8,0.7104,-0.3,-0.0914306640625
-0.8,0.7904,-0.2,-0.143310546875
-0.8,0.7904,-0.2,-0.143310546875
-0.8,0.7904,-0.2,-0.143310546875
-0.8,0.7904,-0.2,-0.143310546875
-0.8,0.7104,-0.2,-0.167724609375
-0.8,0.7104,-0.2,-0.167724609375
-0.8,0.8704,-0.1,-0.195190429687
-0.8,0.8704,-0.1,-0.195190429687
-0.8,0.8704,-0.1,-0.195190429687
-0.8,0.8704,-0.1,-0.195190429687
-0.8,0.7904,-0.1,-0.219604492188
-0.8,0.7904,-0.1,-0.219604492188
-0.8,0.7904,-0.1,-0.219604492188
-0.8,0.8704,0.0,-0.271484375
-0.8,0.8704,0.0,-0.271484375
-0.8,0.8704,0.0,-0.271484375
-0.8,0.8704,0.0,-0.271484375
-0.8,0.7904,0.0,-0.2958984375
-0.8,0.7904,0.0,-0.2958984375
-0.8,0.8704,0.1,-0.347778320313
-0.8,0.8704,0.1,-0.347778320313
-0.8,0.8704,0.1,-0.347778320313
-0.8,0.8704,0.1,-0.347778320313
-0.8,0.7904,0.1,-0.372192382813
-0.8,0.7904,0.1,-0.372192382813
-0.8,0.8704,0.2,-0.424072265625
-0.8,0.8704,0.2,-0.424072265625
-0.8,0.8704,0.2,-0.424072265625
-0.8,0.7904,0.2,-0.448486328125
-0.8,0.7904,0.2,-0.448486328125
-0.8,0.8704,0.3,-0.500366210937
-0.8,0.8704,0.3,-0.500366210937
-0.8,0.8704,0.3,-0.500366210937
-0.8,0.8704,0.8,-2.40771484375
-0.8,0.8704,0.8,-2.40771484375
-0.8,0.8704,0.8,-2.712890625
-0.8,0.8704,0.8,-3.01806640625
-0.8,0.7904,0.8,-3.34765625
-0.8,0.7904,0.8,-3.34765625
-0.8,0.7904,0.8,-3.65283203125
-0.8,0.7104,0.8,-5.203125
-0.8,0.7104,0.8,-5.50830078125
-0.8,0.7104,0.8,-5.8134765625
-0.8,0.6304,0.8,-8.58447265625
-0.8,0.6304,0.8,-8.58447265625
-0.8,0.6304,0.8,-8.8896484375
-0.8,0.8704,0.9,-3.39953613281
-0.8,0.8704,0.9,-3.39953613281
-0.8,0.8704,0.9,-3.39953613281
-0.8,0.8704,0.9,-3.39953613281
-0.8,0.8704,0.9,-3.39953613281
-0.8,0.8704,0.9,-3.70471191406
-0.8,0.8704,0.9,-3.70471191406
-0.8,0.8704,0.9,-3.70471191406
-0.8,0.8704,0.9,-3.70471191406
-0.8,0.8704,0.9,-4.00988769531
-0.8,0.8704,0.9,-4.00988769531
-0.8,0.8704,0.9,-4.00988769531
-0.8,0.8704,0.9,-4.31506347656
-0.8,0.8704,0.9,-4.31506347656
-0.8,0.8704,0.9,-4.31506347656
-0.8,0.8704,0.9,-4.62023925781
-0.8,0.8704,0.9,-4.62023925781
-0.8,0.8704,0.9,-4.62023925781
-0.8,0.8704,0.9,-4.92541503906
-0.8,0.8704,0.9,-4.92541503906
-0.8,0.8704,0.9,-5.23059082031
-0.8,0.8704,0.9,-5.23059082031
-0.8,0.8704,0.9,-5.53576660156
-0.8,0.8704,0.9,-5.53576660156
-0.8,0.8704,0.9,-5.84094238281
-0.8,0.7904,0.9,-4.94982910156
-0.8,0.7904,0.9,-4.94982910156
-0.8,0.7904,0.9,-4.94982910156
-0.8,0.7904,0.9,-5.25500488281
-0.8,0.7904,0.9,-5.25500488281
-0.8,0.7904,0.9,-5.25500488281
-0.8,0.7904,0.9,-5.56018066406
-0.8,0.7904,0.9,-5.56018066406
-0.8,0.7904,0.9,-5.86535644531
-0.8,0.7904,0.9,-5.86535644531
-0.8,0.7904,0.9,-6.17053222656
-0.8,0.7904,0.9,-6.17053222656
-0.8,0.7904,0.9,-6.47570800781
-0.8,0.7904,0.9,-6.47570800781
-0.8,0.7904,0.9,-6.78088378906
-0.8,0.7904,0.9,-6.78088378906
-0.8,0.7904,0.9,-7.08605957031
-0.8,0.7904,0.9,-7.08605957031
-0.8,0.7904,0.9,-7.39123535156
-0.8,0.7104,0.9,-8.02600097656
-0.8,0.7104,0.9,-8.02600097656
-0.8,0.7104,0.9,-8.33117675781
-0.8,0.7104,0.9,-8.33117675781
-0.8,0.7104,0.9,-8.63635253906
-0.8,0.7104,0.9,-8.63635253906
-0.8,0.7104,0.9,-8.94152832031
-0.8,0.7104,0.9,-8.94152832031
-0.8,0.7104,0.9,-9.24670410156
-0.8,0.7104,0.9,-9.24670410156
-0.8,0.8704,1.0,-4.69653320312
-0.8,0.8704,1.0,-4.69653320312
-0.8,0.8704,1.0,-4.69653320312
-0.8,0.8704,1.0,-4.69653320312
-0.8,0.8704,1.0,-5.00170898437
-0.8,0.8704,1.0,-5.00170898437
-0.8,0.8704,1.0,-5.00170898437
-0.8,0.8704,1.0,-5.00170898437
-0.8,0.8704,1.0,-5.30688476562
-0.8,0.8704,1.0,-5.30688476562
-0.8,0.8704,1.0,-5.30688476562
-0.8,0.8704,1.0,-5.30688476562
-0.8,0.8704,1.0,-5.61206054687
-0.8,0.8704,1.0,-5.61206054687
-0.8,0.8704,1.0,-5.61206054687
-0.8,0.8704,1.0,-5.61206054687
-0.8,0.8704,1.0,-5.91723632812
-0.8,0.8704,1.0,-5.91723632812
-0.8,0.8704,1.0,-5.91723632812
-0.8,0.8704,1.0,-5.91723632812
-0.8,0.8704,1.0,-6.22241210937
-0.8,0.8704,1.0,-6.22241210937
-0.8,0.8704,1.0,-6.22241210937
-0.8,0.8704,1.0,-6.22241210937
-0.8,0.8704,1.0,-6.52758789062
-0.8,0.8704,1.0,-6.52758789062
-0.8,0.8704,1.0,-6.52758789062
-0.8,0.8704,1.0,-6.83276367187
-0.8,0.8704,1.0,-6.83276367187
-0.8,0.8704,1.0,-6.83276367187
-0.8,0.8704,1.0,-7.13793945312
-0.8,0.8704,1.0,-7.13793945312
-0.8,0.8704,1.0,-7.13793945312
-0.8,0.8704,1.0,-7.44311523437
-0.8,0.8704,1.0,-7.44311523437
-0.8,0.8704,1.0,-7.74829101562
-0.8,0.8704,1.0,-7.74829101562
-0.8,0.8704,1.0,-8.05346679687
-0.8,0.8704,1.0,-8.05346679687
-0.8,0.8704,1.0,-8.35864257812
-0.8,0.8704,1.0,-8.35864257812
-0.8,0.8704,1.0,-8.66381835937
-0.8,0.8704,1.0,-8.66381835937
-0.8,0.8704,1.0,-8.96899414062
-0.8,0.8704,1.0,-8.96899414062
-0.8,0.7904,1.0,-7.16235351562
-0.8,0.7904,1.0,-7.16235351562
-0.8,0.7904,1.0,-7.16235351562
-0.8,0.7904,1.0,-7.46752929687
-0.8,0.7904,1.0,-7.46752929687
-0.8,0.7904,1.0,-7.46752929687
-0.8,0.7904,1.0,-7.77270507812
-0.8,0.7904,1.0,-7.77270507812
-0.8,0.7904,1.0,-7.77270507812
-0.8,0.7904,1.0,-8.07788085937
-0.8,0.7904,1.0,-8.07788085937
-0.8,0.7904,1.0,-8.07788085937
-0.8,0.7904,1.0,-8.38305664062
-0.8,0.7904,1.0,-8.38305664062
-0.8,0.7904,1.0,-8.68823242187
-0.8,0.7904,1.0,-8.68823242187
-0.8,0.7904,1.0,-8.99340820312
-0.8,0.7904,1.0,-8.99340820312
-0.8,0.7904,1.0,-9.29858398437
-0.8,0.7904,1.0,-9.29858398437
-0.7,0.6699,-1.0,0.129597361644
-0.7,0.6699,-1.0,0.129597361644
-0.7,0.5999,-0.9,0.154246954925
-0.7,0.5299,-0.8,0.178896548207
-0.7,0.5299,-0.5,0.00889935316067
-0.7,0.6699,-0.4,-0.210397028449
-0.7,0.4599,-0.4,0.0335489464424
-0.7,0.5999,-0.3,-0.185747435167
-0.7,0.3899,-0.3,0.0581985397241
-0.7,0.3899,-0.3,0.0581985397241
-0.7,0.7399,-0.2,-0.405043816777
-0.7,0.7399,-0.2,-0.405043816777
-0.7,0.5299,-0.2,-0.161097841886
-0.7,0.5299,-0.2,-0.161097841886
-0.7,0.6699,-0.1,-0.380394223495
-0.7,0.6699,-0.1,-0.380394223495
-0.7,0.4599,-0.1,-0.136448248604
-0.7,0.4599,-0.1,-0.136448248604
-0.7,0.4599,-0.1,-0.136448248604
-0.7,0.6699,0.0,-0.635390016065
-0.7,0.5999,0.0,-0.355744630214
-0.7,0.5999,0.0,-0.355744630214
-0.7,0.5999,0.0,-0.355744630214
-0.7,0.5999,0.0,-0.355744630214
-0.7,0.7399,0.1,-0.575041011823
-0.7,0.7399,0.1,-0.575041011823
-0.7,0.7399,0.1,-0.575041011823
-0.7,0.5999,0.1,-0.610740422783
-0.7,0.5999,0.1,-0.610740422783
-0.7,0.7399,0.2,-0.830036804393
-0.7,0.7399,0.2,-0.830036804393
-0.7,0.7399,0.2,-0.830036804393
-0.7,0.7399,0.2,-0.830036804393
-0.7,0.6699,0.2,-0.550391418542
-0.7,0.6699,0.2,-0.550391418542
-0.7,0.6699,0.2,-0.550391418542
-0.7,0.6699,0.2,-0.550391418542
-0.7,0.5999,0.2,-0.865736215352
-0.7,0.7399,0.3,-1.08503259696
-0.7,0.7399,0.3,-1.08503259696
-0.7,0.7399,0.3,-1.08503259696
-0.7,0.6699,0.3,-0.805387211111
-0.7,0.6699,0.3,-0.805387211111
-0.7,0.6699,0.3,-0.805387211111
-0.7,0.6699,0.3,-0.805387211111
-0.7,0.7399,0.4,-0.74503820687
-0.7,0.7399,0.4,-0.74503820687
-0.7,0.7399,0.4,-0.74503820687
-0.7,0.7399,0.4,-0.74503820687
-0.7,0.7399,0.4,-0.74503820687
-0.7,0.7399,0.4,-1.34002838953
-0.7,0.7399,0.4,-1.34002838953
-0.7,0.7399,0.4,-1.34002838953
-0.7,0.7399,0.4,-1.34002838953
-0.7,0.7399,0.5,-1.5950241821
-0.7,0.7399,0.5,-1.5950241821
-0.7,0.7399,0.5,-1.5950241821
-0.7,0.7399,0.5,-2.19001436476
-0.7,0.7399,0.5,-2.19001436476
-0.7,0.7399,0.6,-2.44501015733
-0.7,0.7399,0.6,-2.44501015733
-0.7,0.7399,0.6,-2.44501015733
-0.7,0.7399,0.6,-3.04000033999
-0.7,0.7399,0.7,-3.29499613256
-0.7,0.7399,0.7,-3.29499613256
-0.7,0.7399,0.7,-3.29499613256
-0.7,0.7399,0.7,-3.88998631523
-0.7,0.7399,0.7,-3.88998631523
-0.7,0.7399,0.7,-3.88998631523
-0.7,0.7399,0.7,-4.48497649789
-0.7,0.6699,0.7,-4.20533111204
-0.7,0.6699,0.7,-4.20533111204
-0.7,0.5999,0.7,-6.30564645683
-0.7,0.5299,0.7,-11.3809127149
-0.7,0.5299,0.7,-11.3809127149
-0.7,0.5299,0.7,-11.9759028976
-0.7,0.5299,0.7,-12.5708930803
-0.7,0.5299,0.7,-13.1658832629
-0.7,0.5299,0.7,-13.7608734456
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.1449821078
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-4.73997229046
-0.7,0.7399,0.8,-5.33496247312
-0.7,0.7399,0.8,-5.33496247312
-0.7,0.7399,0.8,-5.33496247312
-0.7,0.7399,0.8,-5.33496247312
-0.7,0.7399,0.8,-5.33496247312
-0.7,0.7399,0.8,-5.92995265578
-0.7,0.7399,0.8,-5.92995265578
-0.7,0.7399,0.8,-5.92995265578
-0.7,0.7399,0.8,-5.92995265578
-0.7,0.7399,0.8,-5.92995265578
-0.7,0.7399,0.8,-6.52494283844
-0.7,0.7399,0.8,-6.52494283844
-0.7,0.7399,0.8,-6.52494283844
-0.7,0.7399,0.8,-7.11993302111
-0.7,0.7399,0.8,-7.11993302111
-0.7,0.7399,0.8,-7.11993302111
-0.7,0.7399,0.8,-7.71492320377
-0.7,0.7399,0.8,-7.71492320377
-0.7,0.7399,0.8,-7.71492320377
-0.7,0.7399,0.8,-8.30991338643
-0.7,0.7399,0.8,-8.30991338643
-0.7,0.7399,0.8,-8.30991338643
-0.7,0.7399,0.8,-8.90490356909
-0.7,0.7399,0.8,-8.90490356909
-0.7,0.7399,0.8,-9.49989375175
-0.7,0.7399,0.8,-9.49989375175
-0.7,0.7399,0.8,-10.0948839344
-0.7,0.7399,0.8,-10.0948839344
-0.7,0.7399,0.8,-10.6898741171
-0.7,0.7399,0.8,-11.2848642997
-0.7,0.7399,0.8,-11.8798544824
-0.7,0.6699,0.8,-5.65030726993
-0.7,0.6699,0.8,-5.65030726993
-0.7,0.6699,0.8,-5.65030726993
-0.7,0.6699,0.8,-5.65030726993
-0.7,0.6699,0.8,-5.65030726993
-0.7,0.6699,0.8,-6.24529745259
-0.7,0.6699,0.8,-6.24529745259
-0.7,0.6699,0.8,-6.24529745259
-0.7,0.6699,0.8,-6.24529745259
-0.7,0.6699,0.8,-6.24529745259
-0.7,0.6699,0.8,-6.84028763525
-0.7,0.6699,0.8,-6.84028763525
-0.7,0.6699,0.8,-6.84028763525
-0.7,0.6699,0.8,-6.84028763525
-0.7,0.6699,0.8,-7.43527781792
-0.7,0.6699,0.8,-7.43527781792
-0.7,0.6699,0.8,-7.43527781792
-0.7,0.6699,0.8,-7.43527781792
-0.7,0.6699,0.8,-8.03026800058
-0.7,0.6699,0.8,-8.03026800058
-0.7,0.6699,0.8,-8.03026800058
-0.7,0.6699,0.8,-8.62525818324
-0.7,0.6699,0.8,-8.62525818324
-0.7,0.6699,0.8,-8.62525818324
-0.7,0.6699,0.8,-9.2202483659
-0.7,0.6699,0.8,-9.2202483659
-0.7,0.6699,0.8,-9.81523854856
-0.7,0.6699,0.8,-9.81523854856
-0.7,0.6699,0.8,-10.4102287312
-0.7,0.6699,0.8,-10.4102287312
-0.7,0.6699,0.8,-11.0052189139
-0.7,0.6699,0.8,-11.0052189139
-0.7,0.6699,0.8,-11.6002090965
-0.7,0.6699,0.8,-11.6002090965
-0.7,0.6699,0.8,-12.1951992792
-0.7,0.6699,0.8,-12.1951992792
-0.7,0.6699,0.8,-12.7901894619
-0.7,0.6699,0.8,-12.7901894619
-0.7,0.6699,0.8,-13.3851796445
-0.7,0.5999,0.8,-10.1305833454
-0.7,0.5999,0.8,-10.1305833454
-0.7,0.5999,0.8,-10.1305833454
-0.7,0.5999,0.8,-10.725573528
-0.7,0.5999,0.8,-10.725573528
-0.7,0.5999,0.8,-10.725573528
-0.7,0.5999,0.8,-11.3205637107
-0.7,0.5999,0.8,-11.3205637107
-0.7,0.5999,0.8,-11.9155538934
-0.7,0.5999,0.8,-11.9155538934
-0.7,0.5999,0.8,-12.510544076
-0.7,0.5999,0.8,-12.510544076
-0.7,0.5999,0.8,-13.1055342587
-0.7,0.5999,0.8,-13.1055342587
-0.7,0.5999,0.8,-13.7005244413
-0.7,0.5999,0.8,-13.7005244413
-0.7,0.5999,0.8,-14.295514624
-0.7,0.5999,0.8,-14.295514624
-0.7,0.5999,0.8,-14.8905048067
-0.7,0.5999,0.8,-14.8905048067
-0.7,0.5999,0.8,-15.4854949893
-0.7,0.5999,0.8,-15.4854949893
-0.7,0.5999,0.8,-16.080485172
-0.7,0.5999,0.8,-16.080485172
-0.7,0.5999,0.8,-16.6754753547
-0.7,0.5999,0.8,-16.6754753547
-0.7,0.5999,0.8,-17.2704655373
-0.7,0.5999,0.8,-17.2704655373
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-5.58995826569
-0.7,0.7399,0.9,-6.18494844835
-0.7,0.7399,0.9,-6.18494844835
-0.7,0.7399,0.9,-6.18494844835
-0.7,0.7399,0.9,-6.18494844835
-0.7,0.7399,0.9,-6.18494844835
-0.7,0.7399,0.9,-6.18494844835
-0.7,0.7399,0.9,-6.77993863101
-0.7,0.7399,0.9,-6.77993863101
-0.7,0.7399,0.9,-6.77993863101
-0.7,0.7399,0.9,-6.77993863101
-0.7,0.7399,0.9,-6.77993863101
-0.7,0.7399,0.9,-7.37492881367
-0.7,0.7399,0.9,-7.37492881367
-0.7,0.7399,0.9,-7.37492881367
-0.7,0.7399,0.9,-7.37492881367
-0.7,0.7399,0.9,-7.37492881367
-0.7,0.7399,0.9,-7.96991899634
-0.7,0.7399,0.9,-7.96991899634
-0.7,0.7399,0.9,-7.96991899634
-0.7,0.7399,0.9,-7.96991899634
-0.7,0.7399,0.9,-7.96991899634
-0.7,0.7399,0.9,-8.564909179
-0.7,0.7399,0.9,-8.564909179
-0.7,0.7399,0.9,-8.564909179
-0.7,0.7399,0.9,-8.564909179
-0.7,0.7399,0.9,-9.15989936166
-0.7,0.7399,0.9,-9.15989936166
-0.7,0.7399,0.9,-9.15989936166
-0.7,0.7399,0.9,-9.15989936166
-0.7,0.7399,0.9,-9.75488954432
-0.7,0.7399,0.9,-9.75488954432
-0.7,0.7399,0.9,-9.75488954432
-0.7,0.7399,0.9,-9.75488954432
-0.7,0.7399,0.9,-10.349879727
-0.7,0.7399,0.9,-10.349879727
-0.7,0.7399,0.9,-10.349879727
-0.7,0.7399,0.9,-10.349879727
-0.7,0.7399,0.9,-10.9448699096
-0.7,0.7399,0.9,-10.9448699096
-0.7,0.7399,0.9,-10.9448699096
-0.7,0.7399,0.9,-10.9448699096
-0.7,0.7399,0.9,-11.5398600923
-0.7,0.7399,0.9,-11.5398600923
-0.7,0.7399,0.9,-11.5398600923
-0.7,0.7399,0.9,-12.134850275
-0.7,0.7399,0.9,-12.134850275
-0.7,0.7399,0.9,-12.134850275
-0.7,0.7399,0.9,-12.7298404576
-0.7,0.7399,0.9,-12.7298404576
-0.7,0.7399,0.9,-12.7298404576
-0.7,0.7399,0.9,-13.3248306403
-0.7,0.7399,0.9,-13.3248306403
-0.7,0.7399,0.9,-13.3248306403
-0.7,0.7399,0.9,-13.919820823
-0.7,0.7399,0.9,-13.919820823
-0.7,0.7399,0.9,-14.5148110056
-0.7,0.7399,0.9,-14.5148110056
-0.7,0.7399,0.9,-15.1098011883
-0.7,0.7399,0.9,-15.1098011883
-0.7,0.7399,0.9,-15.7047913709
-0.7,0.7399,0.9,-15.7047913709
-0.7,0.7399,0.9,-16.2997815536
-0.7,0.7399,0.9,-16.2997815536
-0.7,0.6699,0.9,-8.88025397581
-0.7,0.6699,0.9,-8.88025397581
-0.7,0.6699,0.9,-8.88025397581
-0.7,0.6699,0.9,-8.88025397581
-0.7,0.6699,0.9,-9.47524415847
-0.7,0.6699,0.9,-9.47524415847
-0.7,0.6699,0.9,-9.47524415847
-0.7,0.6699,0.9,-9.47524415847
-0.7,0.6699,0.9,-10.0702343411
-0.7,0.6699,0.9,-10.0702343411
-0.7,0.6699,0.9,-10.0702343411
-0.7,0.6699,0.9,-10.0702343411
-0.7,0.6699,0.9,-10.6652245238
-0.7,0.6699,0.9,-10.6652245238
-0.7,0.6699,0.9,-10.6652245238
-0.7,0.6699,0.9,-10.6652245238
-0.7,0.6699,0.9,-11.2602147065
-0.7,0.6699,0.9,-11.2602147065
-0.7,0.6699,0.9,-11.2602147065
